model,accuracy,roc_auc,pr_auc,f1,precision,recall,specificity,tp,fp,tn,fn
XGBoost,0.8875,0.9425914516750096,0.865075103159761,0.7922437673130194,0.7757685352622061,0.809433962264151,0.9156462585034013,429,124,1346,101
Random Forest,0.8805,0.9417751251443974,0.8679048284263745,0.7852650494159928,0.7495711835334476,0.8245283018867925,0.9006802721088435,437,146,1324,93
